Case 1

   x       y
 1.0  29.750
 1.5  19.125
 2.0  14.375
 3.0   9.500
 4.0   7.125
 5.0   5.625
 6.0   4.875
 7.0   4.250
 8.0   3.750
 9.0   3.375
10.0   3.000
12.0   2.625
14.0   2.250
16.0   2.000
18.0   1.875
20.0   1.750
24.0   1.500
28.0   1.375
32.0   1.250

Source: William Francis Magie, {\em A Source Book in Physics}, Harvard
University Press, 1965, p. 87.

Description: Pressure of a quantity of enclosed air vs. volume of the
air, as published by Boyle in 1662 in partial support of his law
$PV=k$.

Reference Relation: $y=k/x$

Comments: The reference relation leaves clearly patterned residuals.
It is possible to get a better fit of the form
$y=k_{1}/x^{2}+k_{2}/x+k_{3}$ or one the form
$y+k_{1}=k_{2}/(x+k_{3})$.  The former is closer to what scientists
now use (see Case 45); the latter is a simple inverse relationship,
assuming that Boyle had the origin of his measurement scales slightly
off.  Note that Boyle's original article (as reproduced by Magie)
includes two data sets, of which this is the second.  The first fits
the reference relation very nicely.

              ---------------------------------------------

Case 2

     x       y
 36.00    88.0
 67.25   224.7
 93.00   365.3
141.75   687.0
483.80  4332.1

Source: Herbert Simon and Yulin Qin, ``Laboratory Replication of
Scientific Discovery Processes,'' Psychology Department, Carnegie
Mellon University, p. 3.

Description: Data for five planets---period of revolution vs.
distance to the sun---similar to that used by Kepler to discover his
third law.  See Case 21 for a second data set supporting this law.

Reference Relation: $y=kx^{1.5}$

              ---------------------------------------------

Case 4

     x       y
0.0288  13.300  
0.0293  12.950  
0.0298  12.430  
0.0314  11.160  
0.0514   7.350  
0.0557   6.750  
0.0927   4.030  
0.0912   4.030  
0.0949   3.957     
0.1035   3.690     
0.1100   3.392 
0.1498   2.460 
0.1880   2.011 

Source: William Francis Magie, {\em A Source Book in Physics}, Harvard
University Press, 1965, p. 179.

Description: Dulong and Petit's data: relative atomic weights vs.
specific heat in various materials.

Reference Relation: $y=k/x$

              ---------------------------------------------

Case 5

     x    y
326.75    2  
300.75    4  
277.75    6  
238.25   10  
190.75   18  
134.50   34     
 83.25   66 
 48.50  130 

Source: William Francis Magie, {\em A Source Book in Physics}, Harvard
University Press, 1965, p. 469.

Description: Ohm's 1826 data in support of Ohm's law: length of a
strip of copper vs. current flowing through it.

Reference Relation: $y=k_{1}/x+k_{2}$

Comments: The reference relation leaves two strong outliers.

              ---------------------------------------------

Case 6

   x     y
 -21  12.9 
   0  14.0
 100  18.6
 182  22.2
 302  26.8

Source: Francis W. Sears and Gerhard L. Salinger, {\em Thermodynamics,
Kinetic Theory and Statistical Thermodynamics}, Addison-Wesley, 1975,
p. 298.

Description: Viscosity of carbon dioxide vs. Centigrade temperature.

Reference Relation: $y=k_{1}(x+273.1)^{.5}+k_{2}$

Comments: Reference relation shows some lack of fit.

              ---------------------------------------------

Case 7

   x    y
 4.0  126  
 5.0  125  
 7.0  123  
12.0  120  
14.0  119  
16.0  118  
20.0  116  
24.0  115  
28.0  114     
31.0  113     
34.0  112 
37.5  111 
41.0  110 

Source: Douglas M. Bates and Donald G. Watts, {\em Nonlinear
Regression Analysis and its Applications}, Wiley, 1988, p. 268.

Description: Data from a cooling experiment conducted by Count Rumford
in 1798: temperature in Fahrenheit vs. time.

Reference Relation: $y=k_{1}k_{2}^{x}+k_{3}$

Comments: The law is suggested by Bates and Watts based on work by
Newton rather than what Rumford---who was not looking for a time
dependency relationship---saw in his data.  Reference relation shows
strong lack of fit.

              ---------------------------------------------

Case 8

   x     y
10.5  4570  
22.0  2398  
33.5  1365  
42.6   908  
51.0   631  
60.7   437  
71.0   302 
79.0   228 
91.8   149 

Source: D. J. Hustings, {\em Comprehension and Data Analysis Questions
in Advanced Physics}, John Murray Press, 1975, p. 78.

Description: Resistance vs. Centigrade temperature; for a germanium
semiconductor.

Reference Relation: $y=k_{1}k_{2}^{(1/(x+273.1))}$

Comments: The source notes that the reference relation is the result
